,Pair,RC,IRS,STS,VTS,RRS,SD,TD
0,"(1, 2)",90,80,40,40,65,2,149
1,"(1, 3)",55,21.66666667,5,10,100,7,53
2,"(1, 4)",80,71.42857143,25,30,100,4,5
3,"(1, 5)",80,26.66666667,15,20,100,2,111
4,"(1, 6)",65,22.91666667,15,20,100,5,158
5,"(1, 7)",50,21.21212121,50,55,100,8,49
6,"(1, 8)",55,21.66666667,50,55,100,7,251
7,"(1, 9)",65,25,30,30,100,3,413
8,"(1, 10)",55,21.66666667,0,0,100,7,356
9,"(1, 11)",75,45.83333333,15,20,100,5,73
10,"(1, 12)",70,44.44444444,45,50,100,6,288
11,"(1, 13)",80,53.33333333,45,50,100,2,214
12,"(1, 14)",85,75,45,50,100,3,216
13,"(1, 15)",60,21.21212121,20,25,100,8,38
14,"(1, 16)",45,40.47619048,10,15,95,11,190
15,"(1, 17)",75,22.91666667,0,0,100,5,33
16,"(1, 18)",50,21.21212121,0,0,100,8,28
17,"(1, 19)",70,23.80952381,40,45,100,4,154
18,"(1, 20)",70,23.80952381,40,45,100,4,133
19,"(1, 21)",70,23.80952381,40,45,100,4,133
20,"(1, 22)",55,21.66666667,55,60,100,7,247
21,"(1, 23)",85,58.33333333,50,55,100,1,300
22,"(1, 24)",75,50,50,55,100,3,283
23,"(1, 25)",80,0,5,5,75,4,139
24,"(1, 26)",65,45.83333333,50,50,100,5,99
25,"(1, 27)",70,47.61904762,50,50,100,4,94
26,"(1, 28)",65,22.91666667,0,5,100,5,168
27,"(1, 29)",65,45.83333333,0,5,100,5,152
28,"(1, 30)",80,47.61904762,55,55,100,4,79
29,"(2, 3)",65,15,10,15,65,5,202
30,"(2, 4)",70,51.42857143,30,45,65,2,154
31,"(2, 5)",70,20,15,30,65,0,260
32,"(2, 6)",55,16.25,20,35,65,3,307
33,"(2, 7)",50,14.54545455,35,40,65,6,198
34,"(2, 8)",65,15,30,40,65,5,400
35,"(2, 9)",65,18.33333333,20,35,65,1,562
36,"(2, 10)",55,15,0,0,65,5,505
37,"(2, 11)",65,32.5,10,10,65,3,222
38,"(2, 12)",80,46.66666667,35,45,65,4,437
39,"(2, 13)",70,40,55,65,65,0,363
40,"(2, 14)",75,55,55,65,65,1,365
41,"(2, 15)",60,14.54545455,30,45,65,6,187
42,"(2, 16)",45,27.14285714,15,15,60,9,41
43,"(2, 17)",65,16.25,0,0,65,3,116
44,"(2, 18)",50,14.54545455,0,0,65,6,121
45,"(2, 19)",60,17.14285714,25,35,65,2,303
46,"(2, 20)",60,17.14285714,25,35,65,2,282
47,"(2, 21)",60,17.14285714,20,35,65,2,282
48,"(2, 22)",45,15,50,55,65,5,396
49,"(2, 23)",75,45,55,60,65,1,449
50,"(2, 24)",65,36.66666667,55,60,65,1,432
51,"(2, 25)",80,0,10,20,60,2,288
52,"(2, 26)",75,32.5,20,25,65,3,248
53,"(2, 27)",70,34.28571429,20,25,65,2,243
54,"(2, 28)",55,16.25,10,10,65,3,19
55,"(2, 29)",55,32.5,5,5,65,3,3
56,"(2, 30)",70,34.28571429,40,50,65,2,228
57,"(3, 4)",75,36.42857143,5,10,100,3,48
58,"(3, 5)",65,15,25,35,100,5,58
59,"(3, 6)",60,33.75,35,40,100,2,105
60,"(3, 7)",65,19.09090909,35,40,100,1,4
61,"(3, 8)",90,30,10,5,100,0,198
62,"(3, 9)",80,26.66666667,15,20,100,4,360
63,"(3, 10)",70,10,10,10,100,0,303
64,"(3, 11)",70,33.75,45,45,100,2,20
65,"(3, 12)",75,21.11111111,0,5,100,1,235
66,"(3, 13)",65,15,0,5,100,5,161
67,"(3, 14)",60,13.33333333,0,5,100,4,163
68,"(3, 15)",65,19.09090909,55,55,100,1,15
69,"(3, 16)",60,17.14285714,25,30,95,4,243
70,"(3, 17)",60,0,0,0,100,2,86
71,"(3, 18)",55,9.545454545,0,0,100,1,81
72,"(3, 19)",75,12.14285714,15,20,100,3,101
73,"(3, 20)",75,12.14285714,15,20,100,3,80
74,"(3, 21)",75,12.14285714,10,20,100,3,80
75,"(3, 22)",60,20,0,5,100,0,194
76,"(3, 23)",50,17.5,0,5,100,6,247
77,"(3, 24)",60,26.66666667,0,5,100,4,230
78,"(3, 25)",65,12.14285714,35,60,75,3,86
79,"(3, 26)",80,22.5,40,45,100,2,46
80,"(3, 27)",75,24.28571429,35,40,100,3,41
81,"(3, 28)",80,11.25,5,10,100,2,221
82,"(3, 29)",80,22.5,5,10,100,2,205
83,"(3, 30)",65,36.42857143,40,40,100,3,26
84,"(4, 5)",70,34.28571429,15,20,100,2,106
85,"(4, 6)",85,13.39285714,25,30,100,1,153
86,"(4, 7)",60,35.06493506,20,20,100,4,44
87,"(4, 8)",75,36.42857143,10,15,100,3,246
88,"(4, 9)",75,30.95238095,30,35,100,1,408
89,"(4, 10)",75,36.42857143,10,10,100,3,351
90,"(4, 11)",75,40.17857143,15,20,100,1,68
91,"(4, 12)",70,50.79365079,30,35,100,2,283
92,"(4, 13)",70,34.28571429,40,45,100,2,209
93,"(4, 14)",75,46.42857143,40,45,100,1,211
94,"(4, 15)",70,23.37662338,50,55,100,4,33
95,"(4, 16)",65,42.85714286,30,35,95,7,195
96,"(4, 17)",85,13.39285714,0,0,100,1,38
97,"(4, 18)",50,11.68831169,0,0,100,4,33
98,"(4, 19)",90,42.85714286,35,40,100,0,149
99,"(4, 20)",90,42.85714286,35,40,100,0,128
100,"(4, 21)",90,42.85714286,35,40,100,0,128
101,"(4, 22)",65,24.28571429,30,30,100,3,242
102,"(4, 23)",75,39.28571429,25,30,100,3,295
103,"(4, 24)",75,30.95238095,25,25,100,1,278
104,"(4, 25)",70,0,25,50,75,0,134
105,"(4, 26)",75,53.57142857,30,35,100,1,94
106,"(4, 27)",80,57.14285714,30,35,100,0,89
107,"(4, 28)",85,40.17857143,5,10,100,1,173
108,"(4, 29)",85,53.57142857,5,10,100,1,157
109,"(4, 30)",80,28.57142857,40,45,100,0,74
110,"(5, 6)",55,0,75,80,100,3,47
111,"(5, 7)",60,29.09090909,20,25,100,6,62
112,"(5, 8)",65,30,20,20,100,5,140
113,"(5, 9)",75,18.33333333,10,15,100,1,302
114,"(5, 10)",55,0,5,5,100,5,245
115,"(5, 11)",65,16.25,0,5,100,3,38
116,"(5, 12)",60,15.55555556,15,20,100,4,177
117,"(5, 13)",90,20,15,20,100,0,103
118,"(5, 14)",85,18.33333333,15,20,100,1,105
119,"(5, 15)",70,43.63636364,40,45,100,6,73
120,"(5, 16)",45,13.57142857,5,10,95,9,301
121,"(5, 17)",75,16.25,0,0,100,3,144
122,"(5, 18)",70,29.09090909,0,0,100,6,139
123,"(5, 19)",70,34.28571429,45,45,100,2,43
124,"(5, 20)",70,34.28571429,40,40,100,2,22
125,"(5, 21)",70,34.28571429,40,40,100,2,22
126,"(5, 22)",75,30,15,20,100,5,136
127,"(5, 23)",65,0,15,20,100,1,189
128,"(5, 24)",65,18.33333333,15,20,100,1,172
129,"(5, 25)",70,17.14285714,10,20,75,2,28
130,"(5, 26)",65,16.25,40,50,100,3,12
131,"(5, 27)",70,17.14285714,40,50,100,2,17
132,"(5, 28)",75,16.25,0,5,100,3,279
133,"(5, 29)",75,16.25,0,5,100,3,263
134,"(5, 30)",70,17.14285714,20,25,100,2,32
135,"(6, 7)",65,10.79545455,30,40,100,3,109
136,"(6, 8)",70,22.5,20,20,100,2,93
137,"(6, 9)",60,0,15,20,100,2,255
138,"(6, 10)",60,22.5,10,10,100,2,198
139,"(6, 11)",70,12.5,5,10,100,0,85
140,"(6, 12)",65,0,15,20,100,1,130
141,"(6, 13)",65,48.75,20,25,100,3,56
142,"(6, 14)",70,43.75,20,25,100,2,58
143,"(6, 15)",65,21.59090909,35,40,100,3,120
144,"(6, 16)",60,9.821428571,5,10,95,6,348
145,"(6, 17)",70,0,0,0,100,0,191
146,"(6, 18)",35,0,0,0,100,3,186
147,"(6, 19)",75,26.78571429,60,60,100,1,4
148,"(6, 20)",75,26.78571429,55,55,100,1,25
149,"(6, 21)",75,26.78571429,55,60,100,1,25
150,"(6, 22)",70,22.5,20,25,100,2,89
151,"(6, 23)",70,18.75,15,25,100,4,142
152,"(6, 24)",70,29.16666667,15,20,100,2,125
153,"(6, 25)",55,13.39285714,10,20,75,1,19
154,"(6, 26)",60,25,40,45,100,0,59
155,"(6, 27)",65,26.78571429,40,45,100,1,64
156,"(6, 28)",70,12.5,5,10,100,0,326
157,"(6, 29)",70,25,0,5,100,0,310
158,"(6, 30)",75,66.96428571,30,35,100,1,79
159,"(7, 8)",75,28.63636364,45,50,100,1,202
160,"(7, 9)",65,25.75757576,30,30,100,5,364
161,"(7, 10)",65,9.545454545,0,5,100,1,307
162,"(7, 11)",65,32.38636364,20,15,100,3,24
163,"(7, 12)",70,30.3030303,40,45,100,2,239
164,"(7, 13)",70,29.09090909,45,50,100,6,165
165,"(7, 14)",65,25.75757576,45,50,100,5,167
166,"(7, 15)",70,18.18181818,25,30,100,0,11
167,"(7, 16)",65,24.35064935,20,25,95,3,239
168,"(7, 17)",55,32.38636364,0,0,100,3,82
169,"(7, 18)",50,27.27272727,0,0,100,0,77
170,"(7, 19)",60,23.37662338,50,60,100,4,105
171,"(7, 20)",60,23.37662338,50,60,100,4,84
172,"(7, 21)",60,23.37662338,45,60,100,4,84
173,"(7, 22)",75,38.18181818,45,55,100,1,198
174,"(7, 23)",35,0,50,50,100,7,251
175,"(7, 24)",45,0,50,55,100,5,234
176,"(7, 25)",60,23.37662338,20,20,75,4,90
177,"(7, 26)",65,21.59090909,40,45,100,3,50
178,"(7, 27)",60,23.37662338,40,50,100,4,45
179,"(7, 28)",65,32.38636364,0,5,100,3,217
180,"(7, 29)",65,21.59090909,0,0,100,3,201
181,"(7, 30)",60,11.68831169,55,55,100,4,30
182,"(8, 9)",80,40,35,35,100,4,162
183,"(8, 10)",70,30,10,0,100,0,105
184,"(8, 11)",70,45,0,5,100,2,178
185,"(8, 12)",85,52.77777778,65,85,100,1,37
186,"(8, 13)",75,15,30,50,100,5,37
187,"(8, 14)",70,13.33333333,30,50,100,4,35
188,"(8, 15)",65,28.63636364,25,25,100,1,213
189,"(8, 16)",60,42.85714286,5,10,95,4,441
190,"(8, 17)",60,22.5,0,0,100,2,284
191,"(8, 18)",55,19.09090909,0,0,100,1,279
192,"(8, 19)",75,36.42857143,40,40,100,3,97
193,"(8, 20)",75,36.42857143,40,40,100,3,118
194,"(8, 21)",75,36.42857143,40,40,100,3,118
195,"(8, 22)",70,50,45,60,100,0,4
196,"(8, 23)",50,0,75,95,100,6,49
197,"(8, 24)",60,13.33333333,75,95,100,4,32
198,"(8, 25)",65,12.14285714,0,0,75,3,112
199,"(8, 26)",80,22.5,20,15,100,2,152
200,"(8, 27)",75,12.14285714,20,15,100,3,157
201,"(8, 28)",80,22.5,0,5,100,2,419
202,"(8, 29)",80,11.25,0,0,100,2,403
203,"(8, 30)",65,36.42857143,30,35,100,3,172
204,"(9, 10)",80,13.33333333,0,0,100,4,57
205,"(9, 11)",60,29.16666667,10,15,100,2,340
206,"(9, 12)",65,55.55555556,40,40,100,3,125
207,"(9, 13)",75,18.33333333,30,30,100,1,199
208,"(9, 14)",70,16.66666667,25,30,100,0,197
209,"(9, 15)",75,25.75757576,20,20,100,5,375
210,"(9, 16)",60,35.71428571,15,15,95,8,603
211,"(9, 17)",60,43.75,0,0,100,2,446
212,"(9, 18)",65,38.63636364,0,0,100,5,441
213,"(9, 19)",85,30.95238095,35,40,100,1,259
214,"(9, 20)",85,30.95238095,30,35,100,1,280
215,"(9, 21)",85,15.47619048,30,30,100,1,280
216,"(9, 22)",70,40,30,30,100,4,166
217,"(9, 23)",60,20.83333333,30,30,100,2,113
218,"(9, 24)",60,16.66666667,30,30,100,0,130
219,"(9, 25)",75,0,0,20,75,1,274
220,"(9, 26)",70,43.75,20,25,100,2,314
221,"(9, 27)",65,30.95238095,20,25,100,1,319
222,"(9, 28)",80,43.75,5,5,100,2,581
223,"(9, 29)",80,43.75,5,10,100,2,565
224,"(9, 30)",75,30.95238095,30,35,100,1,334
225,"(10, 11)",60,22.5,15,15,100,2,283
226,"(10, 12)",65,31.66666667,0,0,100,1,68
227,"(10, 13)",55,30,15,15,100,5,142
228,"(10, 14)",60,40,20,15,100,4,140
229,"(10, 15)",65,19.09090909,5,5,100,1,318
230,"(10, 16)",80,51.42857143,5,5,95,4,546
231,"(10, 17)",70,11.25,15,20,100,2,389
232,"(10, 18)",65,9.545454545,10,15,100,1,384
233,"(10, 19)",85,36.42857143,15,20,100,3,202
234,"(10, 20)",85,36.42857143,30,30,100,3,223
235,"(10, 21)",85,36.42857143,25,25,100,3,223
236,"(10, 22)",50,10,0,0,100,0,109
237,"(10, 23)",60,35,0,0,100,6,56
238,"(10, 24)",70,26.66666667,0,0,100,4,73
239,"(10, 25)",75,24.28571429,10,10,75,3,217
240,"(10, 26)",70,45,15,15,100,2,257
241,"(10, 27)",65,36.42857143,15,15,100,3,262
242,"(10, 28)",80,45,0,0,100,2,524
243,"(10, 29)",80,45,0,0,100,2,508
244,"(10, 30)",65,12.14285714,0,0,100,3,277
245,"(11, 12)",85,59.02777778,0,5,100,1,215
246,"(11, 13)",75,32.5,5,10,100,3,141
247,"(11, 14)",80,43.75,0,5,100,2,143
248,"(11, 15)",55,21.59090909,5,10,100,3,35
249,"(11, 16)",50,29.46428571,60,65,95,6,263
250,"(11, 17)",60,25,0,0,100,0,106
251,"(11, 18)",35,21.59090909,0,0,100,3,101
252,"(11, 19)",75,26.78571429,5,10,100,1,81
253,"(11, 20)",75,26.78571429,0,5,100,1,60
254,"(11, 21)",75,26.78571429,0,5,100,1,60
255,"(11, 22)",60,22.5,0,0,100,2,174
256,"(11, 23)",60,18.75,5,10,100,4,227
257,"(11, 24)",70,29.16666667,5,5,100,2,210
258,"(11, 25)",75,13.39285714,30,50,75,1,66
259,"(11, 26)",60,25,45,45,100,0,26
260,"(11, 27)",65,26.78571429,40,45,100,1,21
261,"(11, 28)",70,50,20,25,100,0,241
262,"(11, 29)",70,37.5,20,25,100,0,225
263,"(11, 30)",75,13.39285714,40,40,100,1,6
264,"(12, 13)",70,15.55555556,50,55,100,4,74
265,"(12, 14)",75,27.77777778,50,55,100,3,72
266,"(12, 15)",60,20.2020202,25,30,100,2,250
267,"(12, 16)",55,45.63492063,5,10,95,5,478
268,"(12, 17)",55,23.61111111,0,0,100,1,321
269,"(12, 18)",40,20.2020202,0,0,100,2,316
270,"(12, 19)",70,25.3968254,40,45,100,2,134
271,"(12, 20)",70,25.3968254,40,45,100,2,155
272,"(12, 21)",70,25.3968254,40,45,100,2,155
273,"(12, 22)",55,31.66666667,70,75,100,1,41
274,"(12, 23)",55,18.05555556,70,70,100,5,12
275,"(12, 24)",65,13.88888889,70,70,100,3,5
276,"(12, 25)",80,12.6984127,0,0,75,2,149
277,"(12, 26)",75,47.22222222,20,25,100,1,189
278,"(12, 27)",70,38.0952381,20,25,100,2,194
279,"(12, 28)",65,47.22222222,0,5,100,1,456
280,"(12, 29)",65,35.41666667,0,5,100,1,440
281,"(12, 30)",70,25.3968254,30,35,100,2,209
282,"(13, 14)",95,91.66666667,100,100,100,1,2
283,"(13, 15)",60,29.09090909,35,40,100,6,176
284,"(13, 16)",45,13.57142857,5,10,95,9,404
285,"(13, 17)",65,16.25,0,0,100,3,247
286,"(13, 18)",60,14.54545455,0,0,100,6,242
287,"(13, 19)",70,34.28571429,35,40,100,2,60
288,"(13, 20)",70,34.28571429,35,40,100,2,81
289,"(13, 21)",70,34.28571429,35,40,100,2,81
290,"(13, 22)",75,30,65,70,100,5,33
291,"(13, 23)",65,22.5,65,70,100,1,86
292,"(13, 24)",65,18.33333333,65,70,100,1,69
293,"(13, 25)",70,0,5,10,75,2,75
294,"(13, 26)",65,48.75,20,25,100,3,115
295,"(13, 27)",70,51.42857143,20,25,100,2,120
296,"(13, 28)",75,48.75,5,10,100,3,382
297,"(13, 29)",75,65,0,5,100,3,366
298,"(13, 30)",70,34.28571429,40,45,100,2,135
299,"(14, 15)",65,25.75757576,35,40,100,5,178
300,"(14, 16)",50,23.80952381,5,10,95,8,406
301,"(14, 17)",70,14.58333333,0,0,100,2,249
302,"(14, 18)",55,12.87878788,0,0,100,5,244
303,"(14, 19)",75,30.95238095,35,40,100,1,62
304,"(14, 20)",75,30.95238095,35,40,100,1,83
305,"(14, 21)",75,30.95238095,35,40,100,1,83
306,"(14, 22)",70,26.66666667,65,70,100,4,31
307,"(14, 23)",70,41.66666667,65,70,100,2,84
308,"(14, 24)",70,33.33333333,65,70,100,0,67
309,"(14, 25)",75,0,5,10,75,1,77
310,"(14, 26)",60,43.75,20,25,100,2,117
311,"(14, 27)",65,46.42857143,20,25,100,1,122
312,"(14, 28)",70,43.75,0,5,100,2,384
313,"(14, 29)",70,58.33333333,0,5,100,2,368
314,"(14, 30)",75,30.95238095,40,45,100,1,137
315,"(15, 16)",65,16.23376623,10,15,95,3,228
316,"(15, 17)",65,21.59090909,0,0,100,3,71
317,"(15, 18)",60,9.090909091,0,0,100,0,66
318,"(15, 19)",70,46.75324675,30,35,100,4,116
319,"(15, 20)",70,46.75324675,20,25,100,4,95
320,"(15, 21)",70,46.75324675,20,25,100,4,95
321,"(15, 22)",85,47.72727273,30,35,100,1,209
322,"(15, 23)",55,0,20,30,100,7,262
323,"(15, 24)",55,0,20,25,100,5,245
324,"(15, 25)",70,23.37662338,35,35,75,4,101
325,"(15, 26)",55,21.59090909,35,40,100,3,61
326,"(15, 27)",50,11.68831169,35,40,100,4,56
327,"(15, 28)",65,21.59090909,0,5,100,3,206
328,"(15, 29)",65,21.59090909,0,5,100,3,190
329,"(15, 30)",80,35.06493506,45,50,100,4,41
330,"(16, 17)",60,39.28571429,0,0,95,6,157
331,"(16, 18)",75,40.58441558,5,0,95,3,162
332,"(16, 19)",65,32.14285714,5,10,95,7,344
333,"(16, 20)",65,32.14285714,5,10,95,7,323
334,"(16, 21)",65,32.14285714,5,10,95,7,323
335,"(16, 22)",50,42.85714286,5,10,95,4,437
336,"(16, 23)",50,32.14285714,5,10,95,10,490
337,"(16, 24)",60,23.80952381,5,10,95,8,473
338,"(16, 25)",65,21.42857143,35,45,70,7,329
339,"(16, 26)",60,29.46428571,15,20,95,6,289
340,"(16, 27)",55,32.14285714,15,20,95,7,284
341,"(16, 28)",70,39.28571429,20,25,95,6,22
342,"(16, 29)",70,29.46428571,20,25,95,6,38
343,"(16, 30)",65,32.14285714,20,25,95,7,269
344,"(17, 18)",65,53.97727273,35,40,100,3,5
345,"(17, 19)",75,26.78571429,0,0,100,1,187
346,"(17, 20)",75,26.78571429,0,0,100,1,166
347,"(17, 21)",75,13.39285714,0,0,100,1,166
348,"(17, 22)",60,45,0,0,100,2,280
349,"(17, 23)",70,18.75,0,0,100,4,333
350,"(17, 24)",70,14.58333333,0,0,100,2,316
351,"(17, 25)",55,13.39285714,0,0,75,1,172
352,"(17, 26)",60,12.5,0,0,100,0,132
353,"(17, 27)",65,13.39285714,0,0,100,1,127
354,"(17, 28)",70,37.5,30,30,100,0,135
355,"(17, 29)",70,25,25,25,100,0,119
356,"(17, 30)",65,13.39285714,0,0,100,1,112
357,"(18, 19)",50,23.37662338,0,0,100,4,182
358,"(18, 20)",50,23.37662338,0,0,100,4,161
359,"(18, 21)",50,11.68831169,0,0,100,4,161
360,"(18, 22)",55,28.63636364,0,0,100,1,275
361,"(18, 23)",55,17.04545455,0,0,100,7,328
362,"(18, 24)",55,25.75757576,0,0,100,5,311
363,"(18, 25)",60,23.37662338,0,0,75,4,167
364,"(18, 26)",55,10.79545455,0,0,100,3,127
365,"(18, 27)",50,11.68831169,0,0,100,4,122
366,"(18, 28)",65,32.38636364,30,25,100,3,140
367,"(18, 29)",65,21.59090909,25,20,100,3,124
368,"(18, 30)",50,11.68831169,0,0,100,4,107
369,"(19, 20)",100,100,100,100,100,0,21
370,"(19, 21)",100,85.71428571,95,100,100,0,21
371,"(19, 22)",65,48.57142857,40,45,100,3,93
372,"(19, 23)",65,19.64285714,40,45,100,3,146
373,"(19, 24)",75,15.47619048,40,45,100,1,129
374,"(19, 25)",70,14.28571429,0,0,75,0,15
375,"(19, 26)",65,26.78571429,25,30,100,1,55
376,"(19, 27)",70,28.57142857,25,30,100,0,60
377,"(19, 28)",85,53.57142857,5,10,100,1,322
378,"(19, 29)",85,53.57142857,0,5,100,1,306
379,"(19, 30)",80,42.85714286,45,50,100,0,75
380,"(20, 21)",100,85.71428571,95,100,100,0,0
381,"(20, 22)",65,48.57142857,40,45,100,3,114
382,"(20, 23)",65,19.64285714,40,40,100,3,167
383,"(20, 24)",75,15.47619048,40,45,100,1,150
384,"(20, 25)",70,14.28571429,0,0,75,0,6
385,"(20, 26)",65,26.78571429,25,30,100,1,34
386,"(20, 27)",70,28.57142857,25,30,100,0,39
387,"(20, 28)",85,53.57142857,0,5,100,1,301
388,"(20, 29)",85,53.57142857,0,5,100,1,285
389,"(20, 30)",80,42.85714286,50,55,100,0,54
390,"(21, 22)",65,36.42857143,40,45,100,3,114
391,"(21, 23)",65,0,35,45,100,3,167
392,"(21, 24)",75,0,35,40,100,1,150
393,"(21, 25)",70,14.28571429,0,0,75,0,6
394,"(21, 26)",65,26.78571429,25,30,100,1,34
395,"(21, 27)",70,28.57142857,25,30,100,0,39
396,"(21, 28)",85,40.17857143,0,5,100,1,301
397,"(21, 29)",85,40.17857143,0,0,100,1,285
398,"(21, 30)",80,42.85714286,45,55,100,0,54
399,"(22, 23)",50,17.5,70,75,100,6,53
400,"(22, 24)",50,13.33333333,70,75,100,4,36
401,"(22, 25)",55,12.14285714,0,10,75,3,108
402,"(22, 26)",50,11.25,15,15,100,2,148
403,"(22, 27)",55,12.14285714,15,20,100,3,153
404,"(22, 28)",70,33.75,0,5,100,2,415
405,"(22, 29)",70,22.5,0,0,100,2,399
406,"(22, 30)",75,36.42857143,30,35,100,3,168
407,"(23, 24)",90,83.33333333,100,100,100,2,17
408,"(23, 25)",75,19.64285714,0,0,75,3,161
409,"(23, 26)",60,37.5,15,15,100,4,201
410,"(23, 27)",65,39.28571429,15,20,100,3,206
411,"(23, 28)",70,37.5,5,10,100,4,468
412,"(23, 29)",70,56.25,0,0,100,4,452
413,"(23, 30)",75,19.64285714,35,40,100,3,221
414,"(24, 25)",75,30.95238095,0,0,75,1,144
415,"(24, 26)",60,29.16666667,15,15,100,2,184
416,"(24, 27)",65,30.95238095,15,20,100,1,189
417,"(24, 28)",80,29.16666667,5,10,100,2,451
418,"(24, 29)",80,43.75,0,0,100,2,435
419,"(24, 30)",75,15.47619048,35,40,100,1,204
420,"(25, 26)",75,13.39285714,20,35,75,1,40
421,"(25, 27)",70,14.28571429,20,35,75,0,45
422,"(25, 28)",75,26.78571429,0,5,75,1,307
423,"(25, 29)",75,13.39285714,0,10,75,1,291
424,"(25, 30)",80,14.28571429,10,15,75,0,60
425,"(26, 27)",95,93.75,100,100,100,1,5
426,"(26, 28)",80,62.5,5,10,100,0,267
427,"(26, 29)",80,75,5,10,100,0,251
428,"(26, 30)",55,26.78571429,60,60,100,1,20
429,"(27, 28)",85,66.96428571,5,10,100,1,262
430,"(27, 29)",85,80.35714286,5,10,100,1,246
431,"(27, 30)",60,28.57142857,60,60,100,0,15
432,"(28, 29)",100,87.5,95,95,100,0,16
433,"(28, 30)",75,13.39285714,5,10,100,1,247
434,"(29, 30)",75,26.78571429,5,10,100,1,231
